"Transcript_id","MEROPS_id","NR_besthit","NR_taxonomy","Phylum","Class","func_group"
"H1_Rhizo_25_scaffold_127_3","MER0222570_M15C","WP_045777703.1 M15 family peptidase ","Methylocucumis oryzae","Proteobacteria","Gammaproteobacteria","M"
"H1_Rhizo_25_scaffold_12900_2","MER0462326_C82B","WP_037019395.1 L,D-transpeptidase ","Rhizobiales bacterium YIM 77505","Proteobacteria","Alphaproteobacteria","C"
"H1_Rhizo_25_scaffold_12941_1","MER0966427_S01B","KQV52141.1 serine peptidase ","Massilia sp. Root335","Proteobacteria","Betaproteobacteria","S"
"H1_Rhizo_25_scaffold_13033_1","MER0125509_M24B","WP_125657126.1 aminopeptidase P family protein ","Paenibacillus baekrokdamisoli","Firmicutes","Bacilli","M"
"H1_Rhizo_25_scaffold_13147_1","MER0817533_M03A","WP_036237744.1 M3 family peptidase ","Massilia sp. JS1662","Proteobacteria","Betaproteobacteria","M"
"H1_Rhizo_25_scaffold_13212_1","MER1065349_S46","WP_075793564.1 S46 family peptidase ","Massilia putida","Proteobacteria","Betaproteobacteria","S"
"H1_Rhizo_25_scaffold_1324_1","MER0982186_S08A","XP_020147187.1 tripeptidyl-peptidase 2 ","Aegilops tauschii subsp. tauschii","Streptophyta","Magnoliopsida","S"
"H1_Rhizo_25_scaffold_13376_1","MER0307081_S41A","WP_115693009.1 S41 family peptidase ","Pseudolabrys taiwanensis","Proteobacteria","Alphaproteobacteria","S"
"H1_Rhizo_25_scaffold_134_7","MER0479449_M23B","WP_012081066.1 protease ","Janthinobacterium sp. Marseille","","","M"
"H1_Rhizo_25_scaffold_134_8","MER0337755_S41A","OGB27657.1 peptidase S41 ","Burkholderiales bacterium RIFCSPLOWO2_02_FULL_57_36","Proteobacteria","Betaproteobacteria","S"
"H1_Rhizo_25_scaffold_13430_1","MER0239579_S41A","WP_076343622.1 tail-specific protease ","Paludisphaera borealis","Planctomycetes","Planctomycetia","S"
"H1_Rhizo_25_scaffold_13563_1","MER0133943_S01X","WP_111197754.1 trypsin-like serine protease ","Rhizobiales bacterium KCTC 52945","","","S"
"H1_Rhizo_25_scaffold_13794_1","MER0242608_M14A","WP_054298069.1 carboxypeptidase ","Methanosarcina flavescens","Euryarchaeota","Methanomicrobia","M"
"H1_Rhizo_25_scaffold_13869_1","MER0324767_S08A","WP_125657486.1 peptidase S8 ","Paenibacillus baekrokdamisoli","Firmicutes","Bacilli","S"
"H1_Rhizo_25_scaffold_14_4","MER0300812_M41","WP_026075894.1 ATP-dependent metallopeptidase FtsH/Yme1/Tma family protein ","Noviherbaspirillum massiliense","Proteobacteria","Betaproteobacteria","M"
"H1_Rhizo_25_scaffold_14083_1","MER0174395_S41A","PYO68337.1 peptidase S41 ","Gemmatimonadetes bacterium","Gemmatimonadetes","","S"
"H1_Rhizo_25_scaffold_1412_1","MER0042310_M41","SDF72856.1 membrane protease FtsH catalytic subunit ","Massilia sp. PDC64","Proteobacteria","Betaproteobacteria","M"
"H1_Rhizo_25_scaffold_1416_1","MER0138821_S11","WP_125656945.1 D-alanyl-D-alanine carboxypeptidase ","Paenibacillus baekrokdamisoli","Firmicutes","Bacilli","S"
"H1_Rhizo_25_scaffold_14420_3","MER0462727_C82B","WP_027515464.1 L,D-transpeptidase ","Bradyrhizobium sp. WSM1417","Proteobacteria","Alphaproteobacteria","C"
"H1_Rhizo_25_scaffold_14450_1","MER0057016_S08A","EMS56500.1 Subtilisin-like protease ","Triticum urartu","Streptophyta","Magnoliopsida","S"
"H1_Rhizo_25_scaffold_14476_1","MER0741683_C82A","WP_079605595.1 L,D-transpeptidase ","Bradyrhizobium erythrophlei","Proteobacteria","Alphaproteobacteria","C"
"H1_Rhizo_25_scaffold_14503_1","MER0985221_S08A","WP_057299057.1 peptidase S8 and S53 subtilisin kexin sedolisin ","Pelomonas sp. Root1217","Proteobacteria","Betaproteobacteria","S"
"H1_Rhizo_25_scaffold_14756_1","MER0085996_M14A","WP_088889142.1 carboxypeptidase ","Leptolyngbya ohadii","Cyanobacteria","","M"
"H1_Rhizo_25_scaffold_14833_1","MER0370915_M41","XP_010240568.1 ATP-dependent zinc metalloprotease FTSH 2, chloroplastic ","Brachypodium distachyon","Streptophyta","Magnoliopsida","M"
"H1_Rhizo_25_scaffold_14964_2","MER0052752_M20A","WP_036238609.1 dipeptidase ","Massilia sp. JS1662","","","M"
"H1_Rhizo_25_scaffold_15123_1","MER0079481_S10","XP_020157937.1 serine carboxypeptidase-like 45 ","Aegilops tauschii subsp. tauschii","Streptophyta","Magnoliopsida","S"
"H1_Rhizo_25_scaffold_15223_1","MER0027581_S41A","WP_108516096.1 S41 family peptidase ","Bradyrhizobium algeriense","Proteobacteria","Alphaproteobacteria","S"
"H1_Rhizo_25_scaffold_15747_1","MER0283890_S41A","PYX74995.1 peptidase S41 ","Acidobacteria bacterium","Acidobacteria","","S"
"H1_Rhizo_25_scaffold_15764_2","MER0255119_C15","WP_075794799.1 pyroglutamyl-peptidase I ","Massilia putida","Proteobacteria","Betaproteobacteria","C"
"H1_Rhizo_25_scaffold_1582_2","MER0292744_M01","SDD11862.1 Membrane alanyl aminopeptidase Metallo peptidase. MEROPS family M01 ","Massilia sp. PDC64","Proteobacteria","Betaproteobacteria","M"
"H1_Rhizo_25_scaffold_16005_1","MER0074331_T01X","WP_091660377.1 peptidase ","Massilia sp. PDC64","Proteobacteria","Betaproteobacteria","T"
"H1_Rhizo_25_scaffold_16153_2","MER0127579_S26A","WP_056542434.1 signal peptidase I ","Marmoricola sp. Leaf446","Actinobacteria","Actinobacteria","S"
"H1_Rhizo_25_scaffold_16171_1","MER0742422_C82A","WP_052830762.1 L,D-transpeptidase ","Skermanella aerolata","Proteobacteria","Alphaproteobacteria","C"
"H1_Rhizo_25_scaffold_16390_1","MER0497521_M06","WP_052386584.1 peptidase M6 immune inhibitor A ","Dactylosporangium aurantiacum","","","M"
"H1_Rhizo_25_scaffold_16687_1","MER0131684_S12","OLB03399.1 D-alanyl-D-alanine carboxypeptidase ","Verrucomicrobia bacterium 13_2_20CM_54_12","Verrucomicrobia","","S"
"H1_Rhizo_25_scaffold_16875_1","MER0182310_C01A","WP_007220590.1 putative peptidase ","Candidatus Jettenia caeni","Planctomycetes","Candidatus Brocadiae","C"
"H1_Rhizo_25_scaffold_16879_1","MER0833115_M14A","WP_051514255.1 peptidase M14, partial ","Skermanella stibiiresistens","Proteobacteria","Alphaproteobacteria","M"
"H1_Rhizo_25_scaffold_16887_1","MER0248475_M10B","WP_027579112.1 peptidase M12 ","Bradyrhizobium sp. Ai1a-2","Proteobacteria","Alphaproteobacteria","M"
"H1_Rhizo_25_scaffold_16970_1","MER0065525_S09A","PYR93848.1 oligopeptidase B ","Acidobacteria bacterium","Acidobacteria","","S"
"H1_Rhizo_25_scaffold_17134_2","MER0096899_S14","GBD11820.1 ATP-dependent Clp protease proteolytic subunit ","bacterium HR23","","","S"
"H1_Rhizo_25_scaffold_17220_1","MER1056526_S41A","WP_029583153.1 S41 family peptidase ","Bradyrhizobium sp. URHD0069","Proteobacteria","Alphaproteobacteria","S"
"H1_Rhizo_25_scaffold_17252_1","MER0130228_T03","EMS68109.1 Gamma-glutamyltranspeptidase 1 ","Triticum urartu","Streptophyta","Magnoliopsida","T"
"H1_Rhizo_25_scaffold_17418_2","MER0091734_S26A","WP_011508856.1 signal peptidase I ","Nitrobacter hamburgensis","Proteobacteria","Alphaproteobacteria","S"
"H1_Rhizo_25_scaffold_1742_4","MER0335917_M03A","RKT77466.1 thimet oligopeptidase ","Terracoccus luteus","Actinobacteria","Actinobacteria","M"
"H1_Rhizo_25_scaffold_17776_1","MER0086457_S08A","WP_084464455.1 S8 family peptidase ","Microtetraspora fusca","","","S"
"H1_Rhizo_25_scaffold_17950_1","MER0178978_M04","WP_091287161.1 M4 family peptidase ","Amycolatopsis xylanica","Actinobacteria","Actinobacteria","M"
"H1_Rhizo_25_scaffold_180_6","MER0088776_M24A","OFW03975.1 type I methionyl aminopeptidase ","Acidobacteria bacterium RIFCSPLOWO2_02_FULL_67_36","Acidobacteria","","M"
"H1_Rhizo_25_scaffold_18182_1","MER0193774_M01","WP_125662425.1 M1 family peptidase ","Paenibacillus baekrokdamisoli","Firmicutes","Bacilli","M"
"H1_Rhizo_25_scaffold_18240_2","MER0894760_M50B","OFX00249.1 peptidase M48 ","Alphaproteobacteria bacterium RIFCSPHIGHO2_12_FULL_66_14","Proteobacteria","Alphaproteobacteria","M"
"H1_Rhizo_25_scaffold_185_5","MER0100418_M24B","SDE60050.1 aminopeptidase P Metallo peptidase. MEROPS family M24B ","Massilia sp. PDC64","Proteobacteria","Betaproteobacteria","M"
"H1_Rhizo_25_scaffold_187_3","MER0330443_U62","WP_012078701.1 metalloprotease TldD ","Janthinobacterium sp. Marseille","Proteobacteria","Betaproteobacteria","U"
"H1_Rhizo_25_scaffold_187_5","MER0241754_A32","WP_076592037.1 TIGR02281 family clan AA aspartic protease ","Herminiimonas arsenitoxidans","Proteobacteria","Betaproteobacteria","A"
"H1_Rhizo_25_scaffold_18717_2","MER0965375_S01B","WP_091670358.1 serine protease ","Massilia sp. PDC64","Proteobacteria","Betaproteobacteria","S"
"H1_Rhizo_25_scaffold_19026_1","MER0178978_M04","KAK49096.1 peptidase M4 ","Caballeronia jiangsuensis","Proteobacteria","Betaproteobacteria","M"
"H1_Rhizo_25_scaffold_19122_2","MER0970261_S08A","OJW04060.1 peptidase S8 ","Sphingobacteriales bacterium 44-61","Bacteroidetes","Sphingobacteriia","S"
"H1_Rhizo_25_scaffold_1929_1","MER0057016_S08A","XP_020185969.1 subtilisin-like protease SBT2.6 ","Aegilops tauschii subsp. tauschii","Streptophyta","Magnoliopsida","S"
"H1_Rhizo_25_scaffold_19527_3","MER0301592_S49B","OLB70494.1 S49 family peptidase ","Alphaproteobacteria bacterium 13_2_20CM_2_64_7","Proteobacteria","Alphaproteobacteria","S"
"H1_Rhizo_25_scaffold_19601_1","MER1015750_S14","WP_056435642.1 peptidase S14 ","Massilia sp. Root335","Proteobacteria","Betaproteobacteria","S"
"H1_Rhizo_25_scaffold_19738_2","MER0320377_S66","WP_075791349.1 muramoyltetrapeptide carboxypeptidase ","Massilia putida","Proteobacteria","Betaproteobacteria","S"
"H1_Rhizo_25_scaffold_20156_1","MER1070739_S49A","WP_105375533.1 signal peptide peptidase SppA ","Massilia phosphatilytica","Proteobacteria","Betaproteobacteria","S"
"H1_Rhizo_25_scaffold_20162_1","MER0242610_M14A","XP_004368036.1 carboxypeptidase A3, putative ","Acanthamoeba castellanii str. Neff","Discosea","","M"
"H1_Rhizo_25_scaffold_20228_1","MER0491432_S14","OGO58424.1 ATP-dependent Clp protease proteolytic subunit ","Chloroflexi bacterium RBG_16_69_14","Chloroflexi","","S"
"H1_Rhizo_25_scaffold_20280_2","MER0888450_M48C","WP_083685135.1 M48 family peptidase ","Massilia putida","Proteobacteria","Betaproteobacteria","M"
"H1_Rhizo_25_scaffold_2071_2","MER0019297_S49A","OLB69731.1 S49 family peptidase ","Alphaproteobacteria bacterium 13_2_20CM_2_64_7","Proteobacteria","Alphaproteobacteria","S"
"H1_Rhizo_25_scaffold_20860_1","MER0178978_M04","WP_109775032.1 M4 family peptidase ","Quadrisphaera granulorum","Actinobacteria","Actinobacteria","M"
"H1_Rhizo_25_scaffold_21031_1","MER0904278_M61","WP_056443137.1 M61 family peptidase ","Massilia sp. Root335","Proteobacteria","Betaproteobacteria","M"
"H1_Rhizo_25_scaffold_2108_1","MER0189065_M13","WP_075795162.1 M13 family peptidase ","Massilia putida","Proteobacteria","Betaproteobacteria","M"
"H1_Rhizo_25_scaffold_21521_1","MER0040126_S08A","PYS73961.1 serine protease ","Acidobacteria bacterium","Acidobacteria","","S"
"H1_Rhizo_25_scaffold_21568_1","MER0161329_M24B","XP_020193629.1 probable Xaa-Pro aminopeptidase 3 isoform X1 ","Aegilops tauschii subsp. tauschii","Streptophyta","Magnoliopsida","M"
"H1_Rhizo_25_scaffold_21677_2","MER0065535_M01","PYV51541.1 peptidase M1 ","Acidobacteria bacterium","Acidobacteria","","M"
"H1_Rhizo_25_scaffold_21976_1","MER0325578_U32","WP_056446609.1 U32 family peptidase ","Massilia sp. Root335","Proteobacteria","Betaproteobacteria","U"
"H1_Rhizo_25_scaffold_23210_2","MER0130179_M08","PYV82474.1 peptidase ","Acidobacteria bacterium","Acidobacteria","","M"
"H1_Rhizo_25_scaffold_233_2","MER0202840_A24A","WP_119736465.1 prepilin peptidase ","Herbaspirillum sp. K2R10-39","Proteobacteria","Betaproteobacteria","A"
"H1_Rhizo_25_scaffold_23347_1","MER0251229_M03A","OLD32594.1 peptidase M3, partial ","Myxococcales bacterium 13_1_40CM_2_68_15","Proteobacteria","Deltaproteobacteria","M"
"H1_Rhizo_25_scaffold_23953_1","MER0247774_M61","WP_091664553.1 M61 family peptidase ","Massilia sp. PDC64","Proteobacteria","Betaproteobacteria","M"
"H1_Rhizo_25_scaffold_2407_3","MER0178978_M04","WP_116478351.1 peptidase M4 family protein ","candidate division NC10 bacterium","","","M"
"H1_Rhizo_25_scaffold_24128_2","MER0317734_M82","WP_125656852.1 PrsW family intramembrane metalloprotease ","Paenibacillus baekrokdamisoli","Firmicutes","Bacilli","M"
"H1_Rhizo_25_scaffold_24168_1","MER0428209_C01A","SMD21605.1 Cysteine protease, C1A family ","Kibdelosporangium aridum","Actinobacteria","Actinobacteria","C"
"H1_Rhizo_25_scaffold_24240_1","MER0183651_S08A","WP_105377867.1 peptidase S8 ","Massilia phosphatilytica","Proteobacteria","Betaproteobacteria","S"
"H1_Rhizo_25_scaffold_24284_1","MER0131543_S08A","WP_052387044.1 serine protease ","Dactylosporangium aurantiacum","","","S"
"H1_Rhizo_25_scaffold_24337_1","MER0198470_S28","XP_003574183.2 probable serine protease EDA2 ","Brachypodium distachyon","Streptophyta","Magnoliopsida","S"
"H1_Rhizo_25_scaffold_24401_1","MER0142873_M14B","XP_020173411.1 carboxypeptidase SOL1 ","Aegilops tauschii subsp. tauschii","Streptophyta","Magnoliopsida","M"
"H1_Rhizo_25_scaffold_2476_3","MER0082875_S08A","WP_047586938.1 peptidase S8 ","Methylibium sp. YR605","","","S"
"H1_Rhizo_25_scaffold_24857_1","MER0985221_S08A","XP_015695627.1 PREDICTED: LOW QUALITY PROTEIN: subtilisin-like protease SBT1.5 ","Oryza brachyantha","Streptophyta","Magnoliopsida","S"
"H1_Rhizo_25_scaffold_24939_1","MER0283204_S41A","PYR90363.1 S41 family peptidase ","Acidobacteria bacterium","Acidobacteria","","S"
"H1_Rhizo_25_scaffold_24948_1","MER0497521_M06","WP_052386584.1 peptidase M6 immune inhibitor A ","Dactylosporangium aurantiacum","","","M"
"H1_Rhizo_25_scaffold_250_4","MER0892517_M50B","WP_092357695.1 site-2 protease family protein ","Collimonas sp. OK242","Proteobacteria","Betaproteobacteria","M"
"H1_Rhizo_25_scaffold_25112_1","MER0091734_S26A","PZN32213.1 signal peptidase I ","Chloroflexi bacterium","Chloroflexi","","S"
"H1_Rhizo_25_scaffold_2538_2","MER0301592_S49B","WP_056136192.1 S49 family peptidase ","Massilia sp. Root133","Proteobacteria","Betaproteobacteria","S"
"H1_Rhizo_25_scaffold_25385_1","MER0353550_S12","WP_007569959.1 alkaline D-peptidase ","Patulibacter medicamentivorans","Actinobacteria","Thermoleophilia","S"
"H1_Rhizo_25_scaffold_25736_1","MER0392592_M16B","SIO61986.1 zinc protease ","Bradyrhizobium erythrophlei","Proteobacteria","Alphaproteobacteria","M"
"H1_Rhizo_25_scaffold_2587_1","MER0187422_S08A","WP_099500053.1 MULTISPECIES: serine protease ","Streptomyces","Actinobacteria","Actinobacteria","S"
"H1_Rhizo_25_scaffold_25941_2","MER1014240_S14","WP_028930069.1 ATP-dependent Clp protease proteolytic subunit ","Pseudonocardia asaccharolytica","Actinobacteria","Actinobacteria","S"
"H1_Rhizo_25_scaffold_26289_1","MER1065229_S46","WP_105375540.1 S46 family peptidase ","Massilia phosphatilytica","Proteobacteria","Betaproteobacteria","S"
"H1_Rhizo_25_scaffold_26427_1","MER0197800_S41A","KJB93478.1 peptidase S41 ","Skermanella aerolata KACC 11604","Proteobacteria","Alphaproteobacteria","S"
"H1_Rhizo_25_scaffold_26514_1","MER0220601_M04","WP_084286248.1 peptidase M4 family protein ","Solirubrobacter soli","Actinobacteria","Thermoleophilia","M"
"H1_Rhizo_25_scaffold_26557_2","MER0174655_M55","WP_026844415.1 peptidase M55 ","Geodermatophilaceae bacterium URHA0031","Actinobacteria","Actinobacteria","M"
"H1_Rhizo_25_scaffold_26699_1","MER0307081_S41A","OJY44337.1 peptidase S41 ","Rhizobiales bacterium 64-17","Proteobacteria","Alphaproteobacteria","S"
"H1_Rhizo_25_scaffold_26754_1","MER0968720_S08A","WP_091664781.1 peptidase S8 ","Massilia sp. PDC64","Proteobacteria","Betaproteobacteria","S"
"H1_Rhizo_25_scaffold_26773_1","MER0130551_S09X","PYQ98457.1 S9 family peptidase ","Acidobacteria bacterium","Acidobacteria","","S"
"H1_Rhizo_25_scaffold_27002_1","MER0740853_C82A","WP_043240008.1 L,D-transpeptidase ","Bosea sp. LC85","Proteobacteria","Alphaproteobacteria","C"
"H1_Rhizo_25_scaffold_2704_1","MER0186091_M02","WP_091665730.1 peptidase M2 family protein ","Massilia sp. PDC64","Proteobacteria","Betaproteobacteria","M"
"H1_Rhizo_25_scaffold_27537_2","MER0419949_S12","PRZ41198.1 CubicO group peptidase (beta-lactamase class C family) ","Antricoccus suffuscus","Actinobacteria","Actinobacteria","S"
"H1_Rhizo_25_scaffold_2768_2","MER0300812_M41","WP_053238925.1 ATP-dependent metallopeptidase FtsH/Yme1/Tma family protein ","Sandaracinus amylolyticus","Proteobacteria","Deltaproteobacteria","M"
"H1_Rhizo_25_scaffold_28159_1","MER0191885_S08A","WP_056757028.1 serine protease ","Terrabacter sp. Root181","","","S"
"H1_Rhizo_25_scaffold_28616_1","MER0174395_S41A","PYO85339.1 peptidase S41 ","Gemmatimonadetes bacterium","Gemmatimonadetes","","S"
"H1_Rhizo_25_scaffold_28916_1","MER0050195_M20F","WP_047908237.1 M20 peptidase family dipeptidase ","Pandoraea faecigallinarum","Proteobacteria","Betaproteobacteria","M"
"H1_Rhizo_25_scaffold_29130_2","MER0408245_S01C","OLB70704.1 serine protease ","Alphaproteobacteria bacterium 13_2_20CM_2_64_7","Proteobacteria","Alphaproteobacteria","S"
"H1_Rhizo_25_scaffold_29170_1","MER0080846_M14X","OFW10806.1 peptidase ","Acidobacteria bacterium RIFCSPLOWO2_02_FULL_67_36","Acidobacteria","","M"
"H1_Rhizo_25_scaffold_29180_2","MER0991950_S09A","WP_075795163.1 S9 family peptidase ","Massilia putida","Proteobacteria","Betaproteobacteria","S"
"H1_Rhizo_25_scaffold_29343_1","MER0057016_S08A","EMS63058.1 Subtilisin-like protease ","Triticum urartu","Streptophyta","Magnoliopsida","S"
"H1_Rhizo_25_scaffold_29566_1","MER0131181_S01D","WP_077007247.1 trypsin-like serine protease ","Saccharothrix sp. ALI-22-I","Actinobacteria","Actinobacteria","S"
"H1_Rhizo_25_scaffold_30_13","MER0093972_S01C","OGB22886.1 serine peptidase ","Burkholderiales bacterium RIFCSPLOWO2_02_FULL_57_36","Proteobacteria","Betaproteobacteria","S"
"H1_Rhizo_25_scaffold_30308_2","MER0348838_M48B","WP_067438258.1 zinc metalloprotease HtpX ","Nocardioides jensenii","Actinobacteria","Actinobacteria","M"
"H1_Rhizo_25_scaffold_30354_1","MER0334064_S26A","WP_091178445.1 signal peptidase I ","Friedmanniella flava","Actinobacteria","Actinobacteria","S"
"H1_Rhizo_25_scaffold_30401_1","MER0121226_C82B","WP_116637550.1 L,D-transpeptidase ","Methylocystaceae bacterium","","","C"
"H1_Rhizo_25_scaffold_30701_1","MER0204513_A08","CED91029.1 Lipoprotein signal peptidase ","Actinomyces succiniciruminis","Actinobacteria","Actinobacteria","A"
"H1_Rhizo_25_scaffold_3078_1","MER0063826_C39","WP_081744179.1 peptidase domain-containing ABC transporter ","Ensifer aridi","Proteobacteria","Alphaproteobacteria","C"
"H1_Rhizo_25_scaffold_30796_1","MER1048944_S26A","PYQ44447.1 signal peptidase I ","Acidobacteria bacterium","Acidobacteria","","S"
"H1_Rhizo_25_scaffold_31444_1","MER0072554_M17","AFU60389.1 leucyl aminopeptidase ","Candidatus Nitrososphaera gargensis Ga9.2","Thaumarchaeota","Nitrososphaeria","M"
"H1_Rhizo_25_scaffold_3152_2","MER0991950_S09A","WP_091659405.1 S9 family peptidase ","Massilia sp. PDC64","Proteobacteria","Betaproteobacteria","S"
"H1_Rhizo_25_scaffold_31623_2","MER0464001_C82B","WP_027517636.1 MULTISPECIES: L,D-transpeptidase ","Bradyrhizobium","Proteobacteria","Alphaproteobacteria","C"
"H1_Rhizo_25_scaffold_31670_2","MER0461556_C82A","WP_084284049.1 murein L,D-transpeptidase ","Solirubrobacter soli","","","C"
"H1_Rhizo_25_scaffold_31799_1","MER0131754_C82A","WP_111765997.1 L,D-transpeptidase ","Nakamurella sp. 12Sc4-1","Actinobacteria","Actinobacteria","C"
"H1_Rhizo_25_scaffold_31876_2","MER0138738_S11","WP_081914033.1 D-alanyl-D-alanine carboxypeptidase ","Rhizobiales bacterium YIM 77505","Proteobacteria","Alphaproteobacteria","S"
"H1_Rhizo_25_scaffold_32004_2","MER0284027_M23B","GBG15392.1 peptidase M23 ","Novimethylophilus kurashikiensis","Proteobacteria","Betaproteobacteria","M"
"H1_Rhizo_25_scaffold_32389_2","MER0215170_A08","WP_044427463.1 signal peptidase II ","Skermanella aerolata","Proteobacteria","Alphaproteobacteria","A"
"H1_Rhizo_25_scaffold_3300_1","MER0972687_S08A","XP_020149562.1 subtilisin-like protease SBT3.9 ","Aegilops tauschii subsp. tauschii","Streptophyta","Magnoliopsida","S"
"H1_Rhizo_25_scaffold_33038_2","MER0246861_S26A","PYR91170.1 signal peptidase I ","Acidobacteria bacterium","Acidobacteria","","S"
"H1_Rhizo_25_scaffold_335_2","MER0249927_A08","OGB24673.1 signal peptidase II ","Burkholderiales bacterium RIFCSPLOWO2_02_FULL_57_36","Proteobacteria","Betaproteobacteria","A"
"H1_Rhizo_25_scaffold_335_5","MER0888975_M48C","WP_119741732.1 peptidase M48 ","Herbaspirillum sp. K2R10-39","Proteobacteria","Betaproteobacteria","M"
"H1_Rhizo_25_scaffold_3475_1","MER0972687_S08A","EMS61069.1 Subtilisin-like protease ","Triticum urartu","Streptophyta","Magnoliopsida","S"
"H1_Rhizo_25_scaffold_3573_1","MER0220601_M04","WP_027346267.1 zinc metalloprotease ","Hamadaea tsunoensis","Actinobacteria","Actinobacteria","M"
"H1_Rhizo_25_scaffold_36_10","MER1048146_S26A","WP_019140883.1 signal peptidase I ","Noviherbaspirillum massiliense","Proteobacteria","Betaproteobacteria","S"
"H1_Rhizo_25_scaffold_3964_2","MER0017427_S10","WP_082902834.1 peptidase S1 ","Paraburkholderia ginsengiterrae","Proteobacteria","Betaproteobacteria","S"
"H1_Rhizo_25_scaffold_4359_3","MER0050195_M20F","WP_056889043.1 dipeptidase ","Nocardioides sp. Soil777","Actinobacteria","Actinobacteria","M"
"H1_Rhizo_25_scaffold_447_2","MER0817533_M03A","WP_088707246.1 M3 family peptidase ","Noviherbaspirillum denitrificans","Proteobacteria","Betaproteobacteria","M"
"H1_Rhizo_25_scaffold_45207_2","MER0204513_A08","WP_109506376.1 signal peptidase II ","Nocardioides sp. YIM ART13","Actinobacteria","Actinobacteria","A"
"H1_Rhizo_25_scaffold_4548_1","MER0479449_M23B","WP_056442646.1 protease ","Massilia sp. Root335","Proteobacteria","Betaproteobacteria","M"
"H1_Rhizo_25_scaffold_4760_1","MER0065559_M28B","XP_003569769.2 probable glutamate carboxypeptidase LAMP1 ","Brachypodium distachyon","Streptophyta","Magnoliopsida","M"
"H1_Rhizo_25_scaffold_4908_2","MER0117120_S41A","WP_037020046.1 S41 family peptidase ","Rhizobiales bacterium YIM 77505","Proteobacteria","Alphaproteobacteria","S"
"H1_Rhizo_25_scaffold_493_1","MER0088236_S08A","WP_084557964.1 peptidase S8 ","Hamadaea tsunoensis","Actinobacteria","Actinobacteria","S"
"H1_Rhizo_25_scaffold_509_4","MER0023958_M48A","OGB24151.1 peptidase M48 ","Burkholderiales bacterium RIFCSPLOWO2_02_FULL_57_36","Proteobacteria","Betaproteobacteria","M"
"H1_Rhizo_25_scaffold_5176_1","MER0334064_S26A","WP_033357829.1 signal peptidase I ","Dactylosporangium aurantiacum","Actinobacteria","Actinobacteria","S"
"H1_Rhizo_25_scaffold_5176_2","MER1046987_S26A","WP_101370308.1 signal peptidase I ","Plantactinospora sp. CNZ320","Actinobacteria","Actinobacteria","S"
"H1_Rhizo_25_scaffold_5180_2","MER0320377_S66","WP_075791349.1 muramoyltetrapeptide carboxypeptidase ","Massilia putida","Proteobacteria","Betaproteobacteria","S"
"H1_Rhizo_25_scaffold_5303_1","MER0086869_M48C","WP_105380457.1 M48 family peptidase ","Massilia phosphatilytica","Proteobacteria","Betaproteobacteria","M"
"H1_Rhizo_25_scaffold_54_3","MER0025461_S09A","WP_018135060.1 S9 family peptidase ","Acaricomes phytoseiuli","Actinobacteria","Actinobacteria","S"
"H1_Rhizo_25_scaffold_5699_1","MER0198470_S28","XP_003571960.1 probable serine protease EDA2 ","Brachypodium distachyon","Streptophyta","Magnoliopsida","S"
"H1_Rhizo_25_scaffold_5735_1","MER0888450_M48C","WP_083685135.1 M48 family peptidase ","Massilia putida","Proteobacteria","Betaproteobacteria","M"
"H1_Rhizo_25_scaffold_5937_2","MER0097051_M48C","OGB27615.1 peptidase M48 ","Burkholderiales bacterium RIFCSPLOWO2_02_FULL_57_36","Proteobacteria","Betaproteobacteria","M"
"H1_Rhizo_25_scaffold_5968_1","MER0342262_M03A","WP_075793744.1 M3 family peptidase ","Massilia putida","Proteobacteria","Betaproteobacteria","M"
"H1_Rhizo_25_scaffold_60013_1","MER0005718_S01C","WP_074701095.1 serine protease ","Arthrobacter crystallopoietes","Actinobacteria","Actinobacteria","S"
"H1_Rhizo_25_scaffold_6207_2","MER0743427_C82A","WP_079599612.1 L,D-transpeptidase ","Bradyrhizobium erythrophlei","Proteobacteria","Alphaproteobacteria","C"
"H1_Rhizo_25_scaffold_6415_1","MER0428736_C01A","OGP86991.1 cysteine protease ","Deltaproteobacteria bacterium RBG_16_48_10","Proteobacteria","Deltaproteobacteria","C"
"H1_Rhizo_25_scaffold_65255_1","MER0965423_S01B","WP_091668251.1 serine protease ","Massilia sp. PDC64","Proteobacteria","Betaproteobacteria","S"
"H1_Rhizo_25_scaffold_66_19","MER0241835_A32","WP_089952670.1 MULTISPECIES: TIGR02281 family clan AA aspartic protease ","Limnohabitans","Proteobacteria","Betaproteobacteria","A"
"H1_Rhizo_25_scaffold_6822_2","MER1015300_S14","RMH80313.1 ATP-dependent Clp protease proteolytic subunit ","Actinomyces sp.","Actinobacteria","Actinobacteria","S"
"H1_Rhizo_25_scaffold_6866_3","MER0892829_M50B","WP_075792748.1 site-2 protease family protein ","Massilia putida","Proteobacteria","Betaproteobacteria","M"
"H1_Rhizo_25_scaffold_7120_1","MER0337792_S41A","PYR49034.1 S41 family peptidase ","Acidobacteria bacterium","Acidobacteria","","S"
"H1_Rhizo_25_scaffold_7621_2","MER0040798_M42","WP_084721265.1 osmoprotectant NAGGN system M42 family peptidase ","Skermanella aerolata","Proteobacteria","Alphaproteobacteria","M"
"H1_Rhizo_25_scaffold_7649_1","MER0445986_C39","WP_089335398.1 peptidase domain-containing ABC transporter ","Blastococcus sp. DSM 44272","Actinobacteria","Actinobacteria","C"
