"ORF","MEROPS_id","NR_besthit","NR_taxonomy","Phylum","Class"
"SH_S37_scaffold_72226_1","MER0877058_M41","WP_069764637.1 ATP-dependent zinc metalloprotease FtsH ","Streptomyces sp. LUP47B","Actinobacteria","Actinobacteria"
"YH_S30_scaffold_6187_4","MER0717343_C39","WP_091662464.1 peptidase C39 ","Massilia sp. PDC64","Proteobacteria","Betaproteobacteria"
"SL_S38_scaffold_12022_2","MER0283581_S01C","WP_068030176.1 serine protease ","Rhodoplanes sp. Z2-YC6860","Proteobacteria","Alphaproteobacteria"
"SL_S38_scaffold_61588_1","MER1065267_S46","OLD45559.1 serine protease ","Chloroflexi bacterium 13_1_40CM_2_68_14","Chloroflexi",""
"YH_S30_scaffold_19764_3","MER0387260_M23B","WP_105380515.1 peptidase M23 ","Massilia phosphatilytica","Proteobacteria","Betaproteobacteria"
"ZL_S28_scaffold_3809_5","MER0337991_S41A","OGA72060.1 peptidase S41 ","Betaproteobacteria bacterium RIFCSPLOWO2_12_FULL_65_14","Proteobacteria","Betaproteobacteria"
"SL_S38_scaffold_4012_3","MER0337211_S41A","WP_115693009.1 S41 family peptidase ","Pseudolabrys taiwanensis","Proteobacteria","Alphaproteobacteria"
"YH_S30_scaffold_231_8","MER0300815_M41","SEO03262.1 membrane protease FtsH catalytic subunit ","Duganella sp. CF517","Proteobacteria","Betaproteobacteria"
"SL_S38_scaffold_3359_1","MER0741283_C82A","WP_079538217.1 L,D-transpeptidase ","Bradyrhizobium lablabi","Proteobacteria","Alphaproteobacteria"
"YH_S30_scaffold_3405_4","MER0817533_M03A","WP_036237744.1 M3 family peptidase ","Massilia sp. JS1662","Proteobacteria","Betaproteobacteria"
"YH_S30_scaffold_85_90","MER1018846_S14","WP_090313920.1 peptidase S14 ","Duganella sp. CF517","Proteobacteria","Betaproteobacteria"
"ZL_S28_scaffold_357_12","MER0743427_C82A","WP_079599612.1 L,D-transpeptidase ","Bradyrhizobium erythrophlei","Proteobacteria","Alphaproteobacteria"
"SH_S37_scaffold_22372_2","MER1048146_S26A","WP_056664843.1 signal peptidase I ","Rhizobacter sp. Root1221","Proteobacteria","Betaproteobacteria"
"SL_S38_scaffold_2489_4","MER0235882_S41A","PYR38889.1 S41 family peptidase ","Acidobacteria bacterium","Acidobacteria",""
"YL_S31_scaffold_39586_1","MER1056526_S41A","WP_057857338.1 S41 family peptidase ","Bradyrhizobium lablabi","Proteobacteria","Alphaproteobacteria"
"YH_S30_scaffold_2448_6","MER0072554_M17","WP_075795348.1 leucyl aminopeptidase ","Massilia putida","Proteobacteria","Betaproteobacteria"
"YH_S30_scaffold_2619_2","MER0337755_S41A","WP_056442451.1 S41 family peptidase ","Massilia sp. Root335","Proteobacteria","Betaproteobacteria"
"UL_S35_scaffold_6545_2","MER0325001_S08A","WP_020522927.1 S8 family peptidase ","Catelliglobosispora koreensis","Actinobacteria","Actinobacteria"
"YH_S30_scaffold_7496_3","MER0311852_M13","WP_020655196.1 M13 family peptidase ","Massilia niastensis","Proteobacteria","Betaproteobacteria"
"ZL_S28_scaffold_6855_2","MER1048944_S26A","OFW10186.1 signal peptidase I ","Acidobacteria bacterium RIFCSPLOWO2_02_FULL_67_36","Acidobacteria",""
"ZL_S28_scaffold_357_12","MER0743427_C82A","WP_079599612.1 L,D-transpeptidase ","Bradyrhizobium erythrophlei","Proteobacteria","Alphaproteobacteria"
"YH_S30_scaffold_3159_6","MER0320377_S66","WP_075791349.1 muramoyltetrapeptide carboxypeptidase ","Massilia putida","Proteobacteria","Betaproteobacteria"
"YH_S30_scaffold_39259_2","MER0176697_U62","WP_024339125.1 MULTISPECIES: metalloprotease TldD ","Bradyrhizobium","Proteobacteria","Alphaproteobacteria"
"YM_S32_scaffold_5762_3","MER0888450_M48C","WP_119736717.1 M48 family peptidase ","Herbaspirillum sp. K2R10-39","Proteobacteria","Betaproteobacteria"
"YH_S30_scaffold_2619_2","MER0337755_S41A","WP_036252888.1 S41 family peptidase ","Massilia sp. BSC265","Proteobacteria","Betaproteobacteria"
"SL_S38_scaffold_3025_1","MER0407412_S01C","OLB72848.1 serine peptidase ","Alphaproteobacteria bacterium 13_2_20CM_2_64_7","Proteobacteria","Alphaproteobacteria"
"YH_S30_scaffold_6187_4","MER0717343_C39","WP_091662464.1 peptidase C39 ","Massilia sp. PDC64","Proteobacteria","Betaproteobacteria"
"YH_S30_scaffold_10615_3","MER0982217_S11","WP_091664650.1 D-alanyl-D-alanine carboxypeptidase ","Massilia sp. PDC64","Proteobacteria","Betaproteobacteria"
"YH_S30_scaffold_3686_5","MER0187391_S41A","WP_093556177.1 tail-specific protease ","Massilia namucuonensis","Proteobacteria","Betaproteobacteria"
"YH_S30_scaffold_3686_5","MER0336935_S41A","WP_093556177.1 tail-specific protease ","Massilia namucuonensis","Proteobacteria","Betaproteobacteria"
"YH_S30_scaffold_19764_3","MER0387260_M23B","WP_075794597.1 peptidase M23 ","Massilia putida","Proteobacteria","Betaproteobacteria"
"ZL_S28_scaffold_3809_5","MER0337991_S41A","OGA72060.1 peptidase S41 ","Betaproteobacteria bacterium RIFCSPLOWO2_12_FULL_65_14","Proteobacteria","Betaproteobacteria"
"YH_S30_scaffold_6187_4","MER0717343_C39","WP_091662464.1 peptidase C39 ","Massilia sp. PDC64","Proteobacteria","Betaproteobacteria"
"YH_S30_scaffold_231_8","MER0300815_M41","WP_075795600.1 ATP-dependent metallopeptidase FtsH/Yme1/Tma family protein ","Massilia putida","Proteobacteria","Betaproteobacteria"
"ZL_S28_scaffold_1535_2","MER0088776_M24A","OFW03975.1 type I methionyl aminopeptidase ","Acidobacteria bacterium RIFCSPLOWO2_02_FULL_67_36","Acidobacteria",""
"YH_S30_scaffold_278_7","MER0337755_S41A","WP_090325551.1 S41 family peptidase ","Duganella sp. CF517","Proteobacteria","Betaproteobacteria"
"SH_S37_scaffold_38030_1","MER0504029_S08A","ACY17979.1 peptidase S8 and S53 subtilisin kexin sedolisin ","Haliangium ochraceum DSM 14365","Proteobacteria","Deltaproteobacteria"
"SH_S37_scaffold_72226_1","MER0877058_M41","WP_125188528.1 ATP-dependent zinc metalloprotease FtsH ","Streptomyces sp. RP5T","Actinobacteria","Actinobacteria"
"YH_S30_scaffold_4254_4","MER0330443_U62","WP_056123277.1 MULTISPECIES: metalloprotease TldD ","Massilia","Proteobacteria","Betaproteobacteria"
"UL_S35_scaffold_3001_3","MER0283204_S41A","PYY14692.1 S41 family peptidase ","Acidobacteria bacterium","Acidobacteria",""
"SL_S38_scaffold_2489_4","MER0337792_S41A","RPI53196.1 S41 family peptidase ","Acidobacteria bacterium","Acidobacteria",""
"YH_S30_scaffold_11257_4","MER0189065_M13","WP_056129123.1 MULTISPECIES: M13 family peptidase ","Massilia","Proteobacteria","Betaproteobacteria"
"ZL_S28_scaffold_21530_2","MER0092279_S41B","PYR93967.1 peptidase S9 ","Acidobacteria bacterium","Acidobacteria",""
"UL_S35_scaffold_11599_2","MER0065537_M48C","OLE10584.1 peptidase M48 ","Acidobacteria bacterium 13_1_20CM_4_56_7","Acidobacteria",""
"YH_S30_scaffold_7346_6","MER0626905_C110","EJE53027.1 transglutaminase-like enzyme, predicted cysteine protease ","Acidovorax sp. CF316","Proteobacteria","Betaproteobacteria"
"SL_S38_scaffold_4012_3","MER0307081_S41A","WP_068030465.1 S41 family peptidase ","Rhodoplanes sp. Z2-YC6860","Proteobacteria","Alphaproteobacteria"
"YH_S30_scaffold_2347_10","MER0292744_M01","WP_056132476.1 MULTISPECIES: aminopeptidase N ","Massilia","",""
"UL_S35_scaffold_43242_1","MER0081420_M24B","WP_074271684.1 aminopeptidase P family protein ","Bradyrhizobium erythrophlei","Proteobacteria","Alphaproteobacteria"
"YH_S30_scaffold_21456_1","MER0287894_M04","WP_081219523.1 peptidase M4 ","Streptomyces sp. M41(2017)","Actinobacteria","Actinobacteria"
"SL_S38_scaffold_2798_3","MER0742908_C82A","WP_079565039.1 L,D-transpeptidase ","Bradyrhizobium erythrophlei","Proteobacteria","Alphaproteobacteria"
"ZL_S28_scaffold_50031_3","MER0052429_S01C","PYQ68908.1 protease Do ","Acidobacteria bacterium","Acidobacteria",""
"SL_S38_scaffold_70712_1","MER0189744_M28D","PYR56098.1 peptidase M28 ","Acidobacteria bacterium","Acidobacteria",""
"YH_S30_scaffold_10473_3","MER0023958_M48A","WP_056127226.1 M48 family peptidase ","Massilia sp. Root133","Proteobacteria","Betaproteobacteria"
"YH_S30_scaffold_3159_6","MER0320377_S66","WP_056132712.1 MULTISPECIES: muramoyltetrapeptide carboxypeptidase ","Massilia","Proteobacteria","Betaproteobacteria"
"UL_S35_scaffold_14823_1","MER0065537_M48C","PYV80577.1 peptidase M48 ","Acidobacteria bacterium","Acidobacteria",""
"ZL_S28_scaffold_725_6","MER1056526_S41A","WP_029583153.1 S41 family peptidase ","Bradyrhizobium sp. URHD0069","Proteobacteria","Alphaproteobacteria"
"SL_S38_scaffold_54373_3","MER0250613_S54","WP_091832906.1 rhomboid family intramembrane serine protease ","Bosea lupini","Proteobacteria","Alphaproteobacteria"
"SL_S38_scaffold_2400_7","MER0462729_C82A","WP_079564555.1 murein L,D-transpeptidase ","Bradyrhizobium erythrophlei","Proteobacteria","Alphaproteobacteria"
"YH_S30_scaffold_29703_1","MER0330443_U62","OGB33269.1 metalloprotease TldD ","Burkholderiales bacterium RIFCSPLOWO2_12_FULL_61_40","Proteobacteria","Betaproteobacteria"
"YH_S30_scaffold_3405_4","MER0817533_M03A","WP_056130649.1 MULTISPECIES: M3 family peptidase ","Massilia","Proteobacteria","Betaproteobacteria"
"SL_S38_scaffold_16448_2","MER0285598_S14","WP_014223106.1 ATP-dependent Clp protease proteolytic subunit ","Niastella koreensis","Bacteroidetes","Chitinophagia"
"YH_S30_scaffold_7496_3","MER0311852_M13","WP_056134786.1 M13 family peptidase ","Massilia sp. Root133","Proteobacteria","Betaproteobacteria"
"UL_S35_scaffold_7616_1","MER0183845_S01C","WP_065750960.1 trypsin-like serine protease ","Bradyrhizobium paxllaeri","Proteobacteria","Alphaproteobacteria"
"SH_S37_scaffold_10619_2","MER0337755_S41A","WP_047503406.1 S41 family peptidase ","Methylibium sp. CF468","Proteobacteria","Betaproteobacteria"
"YH_S30_scaffold_4936_11","MER0892829_M50B","WP_056136622.1 MULTISPECIES: site-2 protease family protein ","Massilia","Proteobacteria","Betaproteobacteria"
"UL_S35_scaffold_3634_2","MER0246815_S26A","OFW09022.1 signal peptidase I ","Acidobacteria bacterium RIFCSPLOWO2_02_FULL_67_36","Acidobacteria",""
"SL_S38_scaffold_82692_1","MER0140867_S41A","PYI71068.1 tail-specific protease ","Verrucomicrobia bacterium","Verrucomicrobia",""
"SL_S38_scaffold_51154_1","MER0462040_C82A","PYI96350.1 murein L,D-transpeptidase ","Verrucomicrobia bacterium","Verrucomicrobia",""
"ZL_S28_scaffold_43123_3","MER0320979_M28X","OFW12080.1 peptidase M28 ","Acidobacteria bacterium RIFCSPLOWO2_02_FULL_67_36","Acidobacteria",""
"VM_34_scaffold_129980_2","MER0462411_C82B","WP_081914228.1 L,D-transpeptidase ","Rhizobiales bacterium YIM 77505","Proteobacteria","Alphaproteobacteria"
"YH_S30_scaffold_71878_1","MER0819951_M03A","WP_018453323.1 MULTISPECIES: M3 family peptidase ","Bradyrhizobium","Proteobacteria","Alphaproteobacteria"
"YL_S31_scaffold_19629_2","MER0091734_S26A","WP_018460010.1 MULTISPECIES: signal peptidase I ","Bradyrhizobium","Proteobacteria","Alphaproteobacteria"
"YH_S30_scaffold_19764_3","MER0387260_M23B","WP_056122351.1 MULTISPECIES: peptidase M23 ","Massilia","Proteobacteria","Betaproteobacteria"
"SH_S37_scaffold_32430_2","MER0136671_T03","GBD26931.1 Gamma-glutamyltranspeptidase ","bacterium HR30","",""
"SH_S37_scaffold_19573_9","MER0097487_A08","WP_006274748.1 signal peptidase II ","Asticcacaulis biprosthecium","Proteobacteria","Alphaproteobacteria"
"UL_S35_scaffold_21894_2","MER0338430_S41B","OFW07445.1 protease ","Acidobacteria bacterium RIFCSPLOWO2_02_FULL_67_36","Acidobacteria",""
"UL_S35_scaffold_1318_1","MER0327710_S01C","PYV88784.1 peptidase S1 ","Acidobacteria bacterium","Acidobacteria",""
"SH_S37_scaffold_22372_2","MER1048146_S26A","SHL96291.1 signal peptidase I ","Rhizobacter sp. OV335","Proteobacteria","Betaproteobacteria"
"YM_S32_scaffold_20308_5","MER0499477_S49C","KIF83863.1 serine protease ","Noviherbaspirillum autotrophicum","Proteobacteria","Betaproteobacteria"
"ZL_S28_scaffold_67099_1","MER0052429_S01C","PYQ68908.1 protease Do ","Acidobacteria bacterium","Acidobacteria",""
"SL_S38_scaffold_59677_1","MER0336965_S41A","OJW04061.1 tail-specific protease ","Sphingobacteriales bacterium 44-61","Bacteroidetes","Sphingobacteriia"
"SH_S37_scaffold_46063_5","MER0337755_S41A","WP_043814753.1 S41 family peptidase ","Rubrivivax gelatinosus","Proteobacteria","Betaproteobacteria"
"SL_S38_scaffold_2489_4","MER0337792_S41A","PYR49034.1 S41 family peptidase ","Acidobacteria bacterium","Acidobacteria",""
"YH_S30_scaffold_858_12","MER1046987_S26A","WP_107083033.1 signal peptidase I ","Streptomyces avermitilis","Actinobacteria","Actinobacteria"
"ZL_S28_scaffold_67099_1","MER0052429_S01C","PYR33765.1 protease Do ","Acidobacteria bacterium","Acidobacteria",""
"ZL_S28_scaffold_357_12","MER0743427_C82A","WP_079599612.1 L,D-transpeptidase ","Bradyrhizobium erythrophlei","Proteobacteria","Alphaproteobacteria"
"SL_S38_scaffold_3025_1","MER0407412_S01C","OLB72848.1 serine peptidase ","Alphaproteobacteria bacterium 13_2_20CM_2_64_7","Proteobacteria","Alphaproteobacteria"
"SH_S37_scaffold_465_31","MER0133108_M41","WP_103937657.1 ATP-dependent zinc metalloprotease FtsH ","Actinomadura echinospora","Actinobacteria","Actinobacteria"
"YM_S32_scaffold_2880_6","MER0337387_S41A","KJB92845.1 peptidase S41 ","Skermanella aerolata KACC 11604","Proteobacteria","Alphaproteobacteria"
"SH_S37_scaffold_571_29","MER0877058_M41","WP_033173550.1 ATP-dependent zinc metalloprotease FtsH ","Streptomyces sp. URHA0041","Actinobacteria","Actinobacteria"
"YL_S31_scaffold_39586_1","MER1059180_S41A","WP_028446274.1 S41 family peptidase ","Chitinimonas koreensis","Proteobacteria","Betaproteobacteria"
"UL_S35_scaffold_16466_1","MER0065473_M13","WP_106808177.1 M13 family peptidase ","Candidatus Sulfotelmatobacter kueseliae","Acidobacteria","Acidobacteriia"
"UL_S35_scaffold_61661_2","MER0892829_M50B","PYR90722.1 site-2 protease family protein ","Acidobacteria bacterium","Acidobacteria",""
"UL_S35_scaffold_22713_1","MER0065347_M01","PYX49699.1 peptidase ","Acidobacteria bacterium","Acidobacteria",""
"VL_S33_scaffold_44376_1","MER0348838_M48B","WP_090852469.1 zinc metalloprotease HtpX ","Nocardioides lianchengensis","Actinobacteria","Actinobacteria"
"YH_S30_scaffold_4889_10","MER0904278_M61","WP_056332654.1 M61 family peptidase ","Massilia sp. Leaf139","Proteobacteria","Betaproteobacteria"
"ZL_S28_scaffold_9712_1","MER0125509_M24B","PYR91163.1 aminopeptidase P family protein ","Acidobacteria bacterium","Acidobacteria",""
"VM_34_scaffold_129980_2","MER0461753_C82B","WP_038304354.1 L,D-transpeptidase ","bacterium YEK0313","",""
"ZL_S28_scaffold_67099_1","MER0052429_S01C","PYR23024.1 protease Do ","Acidobacteria bacterium","Acidobacteria",""
"ZL_S28_scaffold_1535_2","MER0251019_M24A","OFW03975.1 type I methionyl aminopeptidase ","Acidobacteria bacterium RIFCSPLOWO2_02_FULL_67_36","Acidobacteria",""
"VM_34_scaffold_87479_2","MER0308563_M14A","WP_106279239.1 peptidase M14 ","Geodermatophilus tzadiensis","Actinobacteria","Actinobacteria"
"YH_S30_scaffold_2448_6","MER0072554_M17","WP_026354504.1 leucyl aminopeptidase ","Massilia niastensis","Proteobacteria","Betaproteobacteria"
"SL_S38_scaffold_422_12","MER0058165_M20A","PYR57014.1 peptidase M20 ","Acidobacteria bacterium","Acidobacteria",""
"YH_S30_scaffold_1465_12","MER0247774_M61","WP_020654832.1 M61 family peptidase ","Massilia niastensis","Proteobacteria","Betaproteobacteria"
"UL_S35_scaffold_123_17","MER0307081_S41A","WP_068030465.1 S41 family peptidase ","Rhodoplanes sp. Z2-YC6860","Proteobacteria","Alphaproteobacteria"
"ZL_S28_scaffold_6855_2","MER1048944_S26A","OFW10186.1 signal peptidase I ","Acidobacteria bacterium RIFCSPLOWO2_02_FULL_67_36","Acidobacteria",""
"ZL_S28_scaffold_13722_4","MER0166178_M28A","PYP02068.1 peptidase M28 ","Gemmatimonadetes bacterium","Gemmatimonadetes",""
"ZL_S28_scaffold_3809_5","MER0337991_S41A","OGA72060.1 peptidase S41 ","Betaproteobacteria bacterium RIFCSPLOWO2_12_FULL_65_14","Proteobacteria","Betaproteobacteria"
"VL_S33_scaffold_69595_1","MER0348838_M48B","WP_026856980.1 zinc metalloprotease HtpX ","Geodermatophilaceae bacterium URHB0062","Actinobacteria","Actinobacteria"
"UL_S35_scaffold_38487_2","MER0296331_M48B","PYR89811.1 zinc metalloprotease HtpX ","Acidobacteria bacterium","Acidobacteria",""
"SL_S38_scaffold_71074_2","MER0464051_C82B","WP_092516147.1 L,D-transpeptidase ","Afipia sp. GAS231","Proteobacteria","Alphaproteobacteria"
"SL_S38_scaffold_4012_3","MER0307081_S41A","OJY44337.1 peptidase S41 ","Rhizobiales bacterium 64-17","Proteobacteria","Alphaproteobacteria"
"ZL_S28_scaffold_2953_3","MER0246861_S26A","PYR91170.1 signal peptidase I ","Acidobacteria bacterium","Acidobacteria",""
"UM_S36_scaffold_62055_3","MER0088776_M24A","SHN80325.1 methionyl aminopeptidase ","Geodermatophilus obscurus","Actinobacteria","Actinobacteria"
"ZM_S29_scaffold_341_4","MER0130896_S16","PYO61718.1 ATP-dependent protease, partial ","Gemmatimonadetes bacterium","Gemmatimonadetes",""
"SM_S39_scaffold_59340_1","MER0462809_C82B","WP_108515603.1 L,D-transpeptidase ","Bradyrhizobium algeriense","Proteobacteria","Alphaproteobacteria"
"VM_34_scaffold_87479_2","MER0308514_M14A","WP_106279239.1 peptidase M14 ","Geodermatophilus tzadiensis","Actinobacteria","Actinobacteria"
"UL_S35_scaffold_21894_2","MER0338430_S41B","OFW07445.1 protease ","Acidobacteria bacterium RIFCSPLOWO2_02_FULL_67_36","Acidobacteria",""
"SL_S38_scaffold_2489_4","MER0337792_S41A","PYR49034.1 S41 family peptidase ","Acidobacteria bacterium","Acidobacteria",""
"SM_S39_scaffold_26209_1","MER0307081_S41A","WP_115693009.1 S41 family peptidase ","Pseudolabrys taiwanensis","Proteobacteria","Alphaproteobacteria"
"UL_S35_scaffold_6386_3","MER0408245_S01C","OLB70704.1 serine protease ","Alphaproteobacteria bacterium 13_2_20CM_2_64_7","Proteobacteria","Alphaproteobacteria"
"SL_S38_scaffold_50632_2","MER0171523_M23B","WP_011159965.1 M23 family metallopeptidase ","Rhodopseudomonas palustris","Proteobacteria","Alphaproteobacteria"
"SM_S39_scaffold_43918_2","MER0461724_C82B","WP_111421180.1 L,D-transpeptidase ","Rhodoplanes roseus","Proteobacteria","Alphaproteobacteria"
"UL_S35_scaffold_205627_2","MER0283890_S41A","PYX74995.1 peptidase S41 ","Acidobacteria bacterium","Acidobacteria",""
"YH_S30_scaffold_2755_6","MER0965578_S01B","WP_082577664.1 MULTISPECIES: serine protease ","Massilia","Proteobacteria","Betaproteobacteria"
"SH_S37_scaffold_20078_1","MER0319141_M24B","RMH41693.1 Xaa-Pro aminopeptidase ","Deltaproteobacteria bacterium","Proteobacteria","Deltaproteobacteria"
"YH_S30_scaffold_11257_4","MER0189065_M13","WP_056129123.1 MULTISPECIES: M13 family peptidase ","Massilia","Proteobacteria","Betaproteobacteria"
"ZL_S28_scaffold_725_6","MER1056526_S41A","WP_029583153.1 S41 family peptidase ","Bradyrhizobium sp. URHD0069","Proteobacteria","Alphaproteobacteria"
"SL_S38_scaffold_4012_3","MER0337211_S41A","OJY44337.1 peptidase S41 ","Rhizobiales bacterium 64-17","Proteobacteria","Alphaproteobacteria"
"SL_S38_scaffold_16448_2","MER0049176_S14","WP_014223106.1 ATP-dependent Clp protease proteolytic subunit ","Niastella koreensis","Bacteroidetes","Chitinophagia"
"SH_S37_scaffold_40184_3","MER0993168_S09A","PYX80359.1 S9 family peptidase ","Acidobacteria bacterium","Acidobacteria",""
"SH_S37_scaffold_72226_1","MER0877058_M41","WP_069764637.1 ATP-dependent zinc metalloprotease FtsH ","Streptomyces sp. LUP47B","Actinobacteria","Actinobacteria"
"ZL_S28_scaffold_725_6","MER1056526_S41A","WP_100420370.1 S41 family peptidase ","Bradyrhizobium lablabi","Proteobacteria","Alphaproteobacteria"
"SM_S39_scaffold_16222_1","MER0252579_S09X","OFW11115.1 peptidase S9 ","Acidobacteria bacterium RIFCSPLOWO2_02_FULL_67_36","Acidobacteria",""
"ZL_S28_scaffold_3809_5","MER0337991_S41A","OGA72060.1 peptidase S41 ","Betaproteobacteria bacterium RIFCSPLOWO2_12_FULL_65_14","Proteobacteria","Betaproteobacteria"
"YH_S30_scaffold_2347_10","MER0292744_M01","WP_056132476.1 MULTISPECIES: aminopeptidase N ","Massilia","",""
"SM_S39_scaffold_26209_1","MER0307081_S41A","WP_115693009.1 S41 family peptidase ","Pseudolabrys taiwanensis","Proteobacteria","Alphaproteobacteria"
"SL_S38_scaffold_21395_1","MER0051319_S41A","WP_011682977.1 S41 family peptidase ","Candidatus Solibacter usitatus","Acidobacteria","Acidobacteriia"
"UM_S36_scaffold_62055_3","MER0088776_M24A","SNR98480.1 methionine aminopeptidase, type I ","Geodermatophilus pulveris","Actinobacteria","Actinobacteria"
"YH_S30_scaffold_39259_2","MER0330443_U62","WP_026233924.1 MULTISPECIES: metalloprotease TldD ","Bradyrhizobium","Proteobacteria","Alphaproteobacteria"
"SH_S37_scaffold_145958_4","MER1078992_S54","WP_110170485.1 rhomboid family intramembrane serine protease ","Luteitalea pratensis","Acidobacteria","Vicinamibacteria"
"YH_S30_scaffold_12712_9","MER0235032_U62","WP_056124411.1 MULTISPECIES: metalloprotease PmbA ","Massilia","Proteobacteria","Betaproteobacteria"
"SM_S39_scaffold_43918_2","MER0461724_C82B","WP_050403200.1 L,D-transpeptidase ","Bradyrhizobium embrapense","Proteobacteria","Alphaproteobacteria"
"SL_S38_scaffold_77690_1","MER0336965_S41A","WP_081200213.1 tail-specific protease ","Niastella yeongjuensis","Bacteroidetes","Chitinophagia"
"SL_S38_scaffold_4012_3","MER0307081_S41A","BAT58654.1 carboxy-terminal processing protease CtpB precursor ","Variibacter gotjawalensis","Proteobacteria","Alphaproteobacteria"
"YH_S30_scaffold_19077_5","MER0301592_S49B","OGB31329.1 peptidase S49 ","Burkholderiales bacterium RIFCSPLOWO2_12_FULL_61_40","Proteobacteria","Betaproteobacteria"
"UL_S35_scaffold_13720_2","MER0283977_S53","SPJ15242.1 putative Tripeptidyl-peptidase I ","Syntrophobacter sp. SbD2","Proteobacteria","Deltaproteobacteria"
"SL_S38_scaffold_3359_1","MER0742347_C82A","WP_079564441.1 L,D-transpeptidase ","Bradyrhizobium erythrophlei","Proteobacteria","Alphaproteobacteria"
"YH_S30_scaffold_15166_3","MER0387260_M23B","OYT91779.1 peptidase M23 ","Burkholderiales bacterium PBB3","Proteobacteria","Betaproteobacteria"
"YH_S30_scaffold_23926_7","MER1048146_S26A","OGA74128.1 signal peptidase I ","Burkholderiales bacterium GWE1_65_30","Proteobacteria","Betaproteobacteria"
"UL_S35_scaffold_123_17","MER0307081_S41A","WP_068030465.1 S41 family peptidase ","Rhodoplanes sp. Z2-YC6860","Proteobacteria","Alphaproteobacteria"
"ZL_S28_scaffold_725_6","MER0337211_S41A","WP_100420370.1 S41 family peptidase ","Bradyrhizobium lablabi","Proteobacteria","Alphaproteobacteria"
"SM_S39_scaffold_26209_1","MER0337211_S41A","WP_115693009.1 S41 family peptidase ","Pseudolabrys taiwanensis","Proteobacteria","Alphaproteobacteria"
"SL_S38_scaffold_10207_3","MER0407412_S01C","OLB72848.1 serine peptidase ","Alphaproteobacteria bacterium 13_2_20CM_2_64_7","Proteobacteria","Alphaproteobacteria"
"VM_34_scaffold_97392_1","MER0132402_S01C","WP_107569954.1 trypsin-like serine protease ","Conexibacter sp. Seoho-28","Actinobacteria","Thermoleophilia"
"YM_S32_scaffold_30030_3","MER0096899_S14","WP_056336241.1 ATP-dependent Clp protease proteolytic subunit ","Arthrobacter sp. Soil764","Actinobacteria","Actinobacteria"
"SL_S38_scaffold_2489_4","MER0283204_S41A","PYR29195.1 S41 family peptidase, partial ","Acidobacteria bacterium","Acidobacteria",""
"SL_S38_scaffold_67013_1","MER0307081_S41A","BAT58654.1 carboxy-terminal processing protease CtpB precursor ","Variibacter gotjawalensis","Proteobacteria","Alphaproteobacteria"
"SL_S38_scaffold_20160_4","MER0250613_S54","WP_116873273.1 rhomboid family intramembrane serine protease ","Terrimonas sp. NS-102","Bacteroidetes","Chitinophagia"
"UL_S35_scaffold_3049_6","MER0235882_S41A","PYQ39728.1 S41 family peptidase ","Acidobacteria bacterium","Acidobacteria",""
"UL_S35_scaffold_75988_1","MER0306556_S41A","WP_115693009.1 S41 family peptidase ","Pseudolabrys taiwanensis","Proteobacteria","Alphaproteobacteria"
"UL_S35_scaffold_309_13","MER0337991_S41A","OGA41550.1 peptidase S41 ","Betaproteobacteria bacterium RIFCSPLOWO2_12_FULL_68_19","Proteobacteria","Betaproteobacteria"
"VL_S33_scaffold_17938_1","MER0336993_S41A","WP_051531640.1 S41 family peptidase ","Sphingomonas sp. URHD0057","Proteobacteria","Alphaproteobacteria"
"VL_S33_scaffold_35261_2","MER0101954_S66","PYR58277.1 LD-carboxypeptidase ","Acidobacteria bacterium","Acidobacteria",""
"UL_S35_scaffold_6386_3","MER0963901_S01B","OLB70704.1 serine protease ","Alphaproteobacteria bacterium 13_2_20CM_2_64_7","Proteobacteria","Alphaproteobacteria"
"UM_S36_scaffold_45675_1","MER0962725_S01C","OJW21487.1 serine protease ","Planctomycetales bacterium 71-10","Planctomycetes","Planctomycetia"
"UL_S35_scaffold_7616_1","MER0183845_S01C","WP_116460005.1 trypsin-like serine protease ","Bradyrhizobiaceae bacterium","",""
"SL_S38_scaffold_59677_1","MER0336965_S41A","SHE92669.1 carboxyl-terminal processing protease ","Flavisolibacter ginsengisoli DSM 18119","Bacteroidetes","Chitinophagia"
"SM_S39_scaffold_26209_1","MER0307081_S41A","WP_115693009.1 S41 family peptidase ","Pseudolabrys taiwanensis","Proteobacteria","Alphaproteobacteria"
"VM_34_scaffold_97392_1","MER0132402_S01C","WP_107569954.1 trypsin-like serine protease ","Conexibacter sp. Seoho-28","Actinobacteria","Thermoleophilia"
"YM_S32_scaffold_687_6","MER0337755_S41A","WP_086922610.1 S41 family peptidase ","Variovorax sp. JS1663","Proteobacteria","Betaproteobacteria"
"UL_S35_scaffold_6386_3","MER0963901_S01B","OLB70704.1 serine protease ","Alphaproteobacteria bacterium 13_2_20CM_2_64_7","Proteobacteria","Alphaproteobacteria"
"ZL_S28_scaffold_17043_2","MER0283581_S01C","WP_027565642.1 serine protease ","Bradyrhizobium sp. URHA0013","Proteobacteria","Alphaproteobacteria"
"SL_S38_scaffold_7618_5","MER0461755_C82B","WP_066498860.1 L,D-transpeptidase ","Bradyrhizobium sp. BR 10303","Proteobacteria","Alphaproteobacteria"
