transcript_id,MEROPS_id,pid_vs_MEROPS,eval_vs_MEROPS,bitscore_vs_MEROPS,NR_accession,pid_vs_NR,eval_vs_NR,bitscore_vs_NR,NR_besthit,NR_taxonomy
H1_Bulk_Litter_5_scaffold_15144_2,MER1057074_S41A,56.1,8.20E-38,155.2,WP_014221233.1,93.5,5.90E-79,303.1,WP_014221233.1 peptidase S41 ,Niastella koreensis
H1_Bulk_Litter_5_scaffold_15164_1,MER0176697_U62,43.3,2.10E-66,251.1,WP_044429703.1,99.3,7.00E-169,602.8,WP_044429703.1 metalloprotease TldD ,Skermanella aerolata
H1_Bulk_Litter_5_scaffold_15371_1,MER0065457_M48C,40,9.80E-64,242.7,PYX76720.1,58.2,1.40E-113,419.5,PYX76720.1 peptidase M48 ,Acidobacteria bacterium
H1_Bulk_Litter_5_scaffold_15459_2,MER0993977_S09A,54.5,1.90E-29,127.1,OLC73000.1,66.7,5.70E-32,146.7,OLC73000.1 peptidase S9 ,Deltaproteobacteria bacterium 13_1_40CM_4_68_19
H1_Bulk_Litter_5_scaffold_16066_2,MER1014240_S14,32.7,6.70E-05,46.2,WP_028930069.1,90.2,3.80E-91,344,WP_028930069.1 ATP-dependent Clp protease proteolytic subunit ,Pseudonocardia asaccharolytica
H1_Bulk_Litter_5_scaffold_1611_2,MER1067626_S49B,30.9,7.90E-33,139.8,OJV11342.1,48.7,3.70E-89,338.2,OJV11342.1 peptidase ,Chlamydiales bacterium 38-26
H1_Bulk_Litter_5_scaffold_16195_2,MER0088776_M24A,48.8,1.10E-62,238.4,OFW03975.1,84.6,1.30E-109,405.6,OFW03975.1 type I methionyl aminopeptidase ,Acidobacteria bacterium RIFCSPLOWO2_02_FULL_67_36
H1_Bulk_Litter_5_scaffold_16230_1,MER0115693_S53,25.9,2.50E-31,135.2,XP_004338605.1,45.7,1.50E-98,369.8,"XP_004338605.1 Tripeptidylpeptidase 1, putative ",Acanthamoeba castellanii str. Neff
H1_Bulk_Litter_5_scaffold_16299_1,MER0247981_M24B,32,4.60E-30,130.2,WP_013182907.1,56.2,1.20E-76,296.2,WP_013182907.1 aminopeptidase P family protein ,Waddlia chondrophila
H1_Bulk_Litter_5_scaffold_16533_2,MER0308154_A08,41.4,4.90E-23,106.3,OQX68272.1,67.4,3.50E-48,201.1,OQX68272.1 signal peptidase II ,Sorangiineae bacterium NIC37A_2
H1_Bulk_Litter_5_scaffold_16659_2,MER0049176_S14,32.8,6.00E-09,60.1,WP_072980662.1,68.1,2.20E-70,275.4,WP_072980662.1 ATP-dependent Clp protease proteolytic subunit ,Fibrobacter sp. UWH4
H1_Bulk_Litter_5_scaffold_16935_2,MER0324238_M43B,44,1.20E-60,232.3,WP_098515596.1,46.5,2.10E-66,262.7,WP_098515596.1 zinc metalloprotease ,Bacillus thuringiensis
H1_Bulk_Litter_5_scaffold_17007_1,MER0062937_S08A,33.8,2.20E-30,131.7,ACX43965.1,50,1.20E-82,316.6,ACX43965.1 cysteine protease 1 ,Brachiaria hybrid cultivar
H1_Bulk_Litter_5_scaffold_17097_1,MER0188174_M57,56.7,8.80E-69,258.8,WP_120608946.1,62.4,1.90E-77,298.9,WP_120608946.1 protease ,Corallococcus sp. CA053C
H1_Bulk_Litter_5_scaffold_17166_1,MER0178978_M04,42.9,1.70E-48,191.8,WP_026086622.1,47.7,8.50E-78,300.4,WP_026086622.1 peptidase M4 family protein ,Fischerella muscicola
H1_Bulk_Litter_5_scaffold_17226_1,MER0312659_S46,64.9,1.10E-60,231.5,OJV97907.1,76.3,2.10E-75,291.6,OJV97907.1 serine protease ,Sphingobacteriales bacterium 44-61
H1_Bulk_Litter_5_scaffold_174_1,MER0065474_M20F,28.9,2.70E-44,178.3,WP_013925653.1,60.3,1.70E-161,578.9,WP_013925653.1 dipeptidase ,Parachlamydia acanthamoebae
H1_Bulk_Litter_5_scaffold_17505_1,MER1017926_S14,32.3,2.10E-09,61.2,OLB79583.1,97.6,4.30E-109,403.7,OLB79583.1 ATP-dependent Clp protease proteolytic subunit ,Alphaproteobacteria bacterium 13_2_20CM_2_64_7
H1_Bulk_Litter_5_scaffold_17539_1,MER0407412_S01C,55.1,1.00E-117,422.2,OLB72848.1,81.3,7.40E-196,693,OLB72848.1 serine peptidase ,Alphaproteobacteria bacterium 13_2_20CM_2_64_7
H1_Bulk_Litter_5_scaffold_17555_1,MER0239838_C14B,57.3,6.10E-73,272.7,WP_044890787.1,58.4,5.10E-70,274.2,WP_044890787.1 ICE-like protease ,Myxococcus hansupus
H1_Bulk_Litter_5_scaffold_17697_1,MER0090076_S11,64.4,2.50E-139,493.8,WP_053094234.1,67.1,8.90E-143,516.5,WP_053094234.1 D-alanyl-D-alanine carboxypeptidase ,Cellvibrio sp. pealriver
H1_Bulk_Litter_5_scaffold_17952_1,MER1014656_S49C,26.8,1.80E-09,61.6,OJX18028.1,92.2,2.30E-103,384.8,OJX18028.1 ATP-dependent Clp protease proteolytic subunit ,Devosia sp. 67-54
H1_Bulk_Litter_5_scaffold_18231_1,MER0446057_C39,24.4,2.70E-06,51.2,WP_025831380.1,40,5.90E-44,187.6,WP_025831380.1 peptidase domain-containing ABC transporter ,Bacteroides stercorirosoris
H1_Bulk_Litter_5_scaffold_18453_1,MER0317880_M17,44.8,2.10E-79,294.7,PZN24861.1,72.2,2.30E-153,551.6,PZN24861.1 leucyl aminopeptidase ,Proteobacteria bacterium
H1_Bulk_Litter_5_scaffold_18489_2,MER1014656_S49C,25.4,2.00E-07,54.7,PZN49539.1,75.9,4.60E-79,303.9,"PZN49539.1 ATP-dependent Clp protease proteolytic subunit, partial ",Chloroflexi bacterium
H1_Bulk_Litter_5_scaffold_18829_1,MER0250613_S54,34.4,1.10E-26,118.6,WP_006341090.1,72.6,4.60E-76,293.9,WP_006341090.1 rhomboid family intramembrane serine protease ,Parachlamydia acanthamoebae
H1_Bulk_Litter_5_scaffold_18877_1,MER0178978_M04,51.1,2.50E-77,287.7,PYX01758.1,78.7,2.30E-166,594.7,PYX01758.1 peptidase M4 family protein ,Acidobacteria bacterium
H1_Bulk_Litter_5_scaffold_18993_2,MER0095588_M19,40.6,2.10E-31,134.8,WP_014804853.1,50.8,8.80E-68,266.9,WP_014804853.1 peptidase C26 ,Turneriella parva
H1_Bulk_Litter_5_scaffold_19473_1,MER0740567_C82A,56.6,5.00E-54,209.5,PIE05956.1,50.7,3.70E-60,241.1,"PIE05956.1 L,D-transpeptidase ",Sorangium cellulosum
H1_Bulk_Litter_5_scaffold_19506_1,MER0086007_S08A,66.8,2.70E-160,563.5,WP_084557964.1,74.3,6.90E-183,649.8,WP_084557964.1 peptidase S8 ,Hamadaea tsunoensis
H1_Bulk_Litter_5_scaffold_19681_1,MER0063839_M16C,25,8.10E-32,136.7,OJV10813.1,51.3,5.20E-122,447.6,OJV10813.1 metalloprotease ,Chlamydiales bacterium 38-26
H1_Bulk_Litter_5_scaffold_19696_1,MER0170050_M16B,57.9,5.20E-140,496.1,OLB74790.1,78.6,8.70E-186,659.4,OLB74790.1 peptidase M16 ,Alphaproteobacteria bacterium 13_2_20CM_2_64_7
H1_Bulk_Litter_5_scaffold_20046_1,MER0211890_S41A,52.9,1.00E-99,362.1,WP_096030685.1,54.5,3.60E-100,374.8,WP_096030685.1 carboxy terminal-processing peptidase ,Candidatus Protochlamydia massiliensis
H1_Bulk_Litter_5_scaffold_20296_1,MER0063839_M16C,31.5,3.60E-48,191,WP_068470074.1,57.2,3.70E-136,494.6,WP_068470074.1 metalloprotease ,Parachlamydia sp. C2
H1_Bulk_Litter_5_scaffold_20300_1,MER0739712_C82A,68.3,1.80E-69,261.5,WP_064032887.1,45.6,1.60E-52,216.5,"WP_064032887.1 murein L,D-transpeptidase ",Methylosinus sp. R-45379
H1_Bulk_Litter_5_scaffold_2053_5,MER0740567_C82A,46.3,2.20E-88,324.3,PIE05956.1,49.3,5.90E-100,374,"PIE05956.1 L,D-transpeptidase ",Sorangium cellulosum
H1_Bulk_Litter_5_scaffold_20676_2,MER1046987_S26A,29.9,5.00E-22,103.2,SNY14397.1,90.7,1.20E-106,395.6,SNY14397.1 signal peptidase I ,Actinoplanes atraurantiacus
H1_Bulk_Litter_5_scaffold_20873_2,MER0097194_C14B,47.4,7.40E-11,64.7,WP_087468988.1,73.4,1.50E-25,124.8,WP_087468988.1 peptidase C14 ,Cellvibrio sp. PSBB006
H1_Bulk_Litter_5_scaffold_21206_1,MER0162003_M06,36.4,2.10E-56,218.4,WP_081866288.1,65.2,5.00E-154,553.9,WP_081866288.1 M6 family metalloprotease domain-containing protein ,Blastococcus sp. URHD0036
H1_Bulk_Litter_5_scaffold_2122_3,MER0182193_S08A,35.7,8.10E-31,133.3,WP_096086831.1,39.5,5.30E-41,178.3,WP_096086831.1 trypsin-like serine protease ,Agaribacterium haliotis
H1_Bulk_Litter_5_scaffold_21487_1,MER0407412_S01C,54.8,5.90E-109,392.9,OLB72848.1,73.6,5.00E-151,543.9,OLB72848.1 serine peptidase ,Alphaproteobacteria bacterium 13_2_20CM_2_64_7
H1_Bulk_Litter_5_scaffold_21726_1,MER0065537_M48C,56.2,1.20E-77,288.9,PYS39933.1,62.1,4.60E-88,334.7,PYS39933.1 peptidase M48 ,Acidobacteria bacterium
H1_Bulk_Litter_5_scaffold_22033_1,MER0981577_S08A,52.6,1.10E-83,308.9,AGH95162.1,70.3,6.10E-120,440.7,AGH95162.1 subtilisin like serine protease ,Bdellovibrio exovorus JSS
H1_Bulk_Litter_5_scaffold_22077_1,MER0057016_S08A,48.3,2.80E-50,198,WP_083450476.1,55.5,1.30E-69,273.5,WP_083450476.1 S8 family peptidase ,Luteipulveratus mongoliensis
H1_Bulk_Litter_5_scaffold_2210_3,MER0178978_M04,42.9,6.30E-70,263.1,WP_095934206.1,89.5,1.90E-186,661.4,WP_095934206.1 peptidase M4 family protein ,Streptomyces sp. Tue6028
H1_Bulk_Litter_5_scaffold_224_2,MER0445986_C39,33.3,6.20E-09,59.7,WP_089335398.1,73.2,3.90E-70,274.2,WP_089335398.1 peptidase domain-containing ABC transporter ,Blastococcus sp. DSM 44272
H1_Bulk_Litter_5_scaffold_22445_1,MER0888450_M48C,54.5,4.90E-103,373.2,WP_082577097.1,99.5,1.30E-218,768.5,WP_082577097.1 MULTISPECIES: M48 family peptidase ,Massilia
H1_Bulk_Litter_5_scaffold_2271_1,MER0097399_M24B,35.8,5.30E-17,87.4,WP_059359213.1,56.3,4.60E-128,467.6,WP_059359213.1 M24 family metallopeptidase ,Parachlamydia acanthamoebae
H1_Bulk_Litter_5_scaffold_23055_1,MER0162776_S11,36.3,1.00E-36,152.9,RMH40224.1,45.3,8.00E-48,201.1,RMH40224.1 D-alanyl-D-alanine carboxypeptidase ,Deltaproteobacteria bacterium
H1_Bulk_Litter_5_scaffold_23068_1,MER0180144_S08A,36.2,7.10E-46,183.3,PKO09662.1,40.8,2.50E-65,259.2,PKO09662.1 peptidase S8 ,Chloroflexi bacterium HGW-Chloroflexi-2
H1_Bulk_Litter_5_scaffold_23352_2,MER0125509_M24B,48.8,1.40E-18,90.5,PYR42738.1,91.8,4.20E-42,179.9,PYR42738.1 aminopeptidase P family protein ,Acidobacteria bacterium
H1_Bulk_Litter_5_scaffold_23817_1,MER0062937_S08A,34,1.80E-32,138.7,ACX43954.1,50.6,3.80E-73,285,ACX43954.1 cysteine protease 1 ,Brachiaria hybrid cultivar
H1_Bulk_Litter_5_scaffold_2382_1,MER0063329_M01,27.7,3.00E-76,285.4,AFU60420.1,46.2,1.20E-203,719.9,AFU60420.1 putative membrane alanyl aminopeptidase ,Candidatus Nitrososphaera gargensis Ga9.2
H1_Bulk_Litter_5_scaffold_23930_1,MER0338265_M03A,57.6,9.90E-28,120.9,WP_049631231.1,83.5,1.50E-37,164.9,WP_049631231.1 oligopeptidase A ,Cellvibrio sp. pealriver
H1_Bulk_Litter_5_scaffold_2406_5,MER0349202_M48B,44.8,1.10E-57,222.2,WP_013924909.1,64.1,8.50E-112,413.3,WP_013924909.1 peptidase ,Parachlamydia acanthamoebae
H1_Bulk_Litter_5_scaffold_24061_1,MER1048146_S26A,28.8,3.10E-19,94.7,PZN17339.1,61.8,2.80E-127,464.9,PZN17339.1 signal peptidase I ,Proteobacteria bacterium
H1_Bulk_Litter_5_scaffold_2426_4,MER0114404_S01C,65.9,5.80E-74,275.8,PZN14942.1,72,3.00E-81,311.2,PZN14942.1 serine protease ,Proteobacteria bacterium
H1_Bulk_Litter_5_scaffold_24849_1,MER0895195_C56,39.7,1.70E-30,131.3,ALS91468.1,74,2.40E-75,291.6,"ALS91468.1 PfpI: intracellular protease, PfpI ",uncultured bacterium
H1_Bulk_Litter_5_scaffold_24976_1,MER0330354_U62,39.2,2.10E-71,268.1,OQX67613.1,76.1,1.20E-162,582.4,OQX67613.1 metalloprotease TldD ,Sorangiineae bacterium NIC37A_2
H1_Bulk_Litter_5_scaffold_25471_1,MER0211890_S41A,50.9,1.30E-93,341.7,PIS02167.1,77.1,1.90E-138,501.9,PIS02167.1 tail-specific protease ,Chlamydiae bacterium CG10_big_fil_rev_8_21_14_0_10_42_34
H1_Bulk_Litter_5_scaffold_2579_1,MER0023946_M01,28,1.50E-67,256.5,AFU60420.1,36.1,1.80E-137,500,AFU60420.1 putative membrane alanyl aminopeptidase ,Candidatus Nitrososphaera gargensis Ga9.2
H1_Bulk_Litter_5_scaffold_26010_1,MER0048929_M23B,50.4,4.00E-33,140.6,PYQ43070.1,92.1,7.50E-155,556.2,PYQ43070.1 M23 family peptidase ,Acidobacteria bacterium
H1_Bulk_Litter_5_scaffold_26225_2,MER0338430_S41B,67,1.70E-69,260.8,OFW07445.1,89.1,8.80E-96,359.4,OFW07445.1 protease ,Acidobacteria bacterium RIFCSPLOWO2_02_FULL_67_36
H1_Bulk_Litter_5_scaffold_26232_1,MER0062937_S08A,30.7,6.50E-27,120.2,ACX43954.1,57,6.40E-94,354,ACX43954.1 cysteine protease 1 ,Brachiaria hybrid cultivar
H1_Bulk_Litter_5_scaffold_26446_1,MER0255491_M04,51.6,5.40E-96,349.7,WP_052766567.1,50.6,1.20E-96,363.2,WP_052766567.1 peptidase M4 family protein ,Hoeflea sp. IMCC20628
H1_Bulk_Litter_5_scaffold_26485_1,MER1056526_S41A,90.8,5.10E-156,548.9,WP_100420370.1,95.9,1.70E-162,581.6,WP_100420370.1 S41 family peptidase ,Bradyrhizobium lablabi
H1_Bulk_Litter_5_scaffold_26608_1,MER0062937_S08A,32.9,2.10E-31,135.2,ACX43954.1,55.4,9.90E-85,323.6,ACX43954.1 cysteine protease 1 ,Brachiaria hybrid cultivar
H1_Bulk_Litter_5_scaffold_26690_1,MER0497869_S53,65.2,1.00E-139,495,CCH79661.1,72.1,1.20E-151,545.8,"CCH79661.1 putative subtilase family serine protease,secreted ",Tetrasphaera japonica T1-X7
H1_Bulk_Litter_5_scaffold_26785_1,MER0314853_S53,69.4,2.30E-139,493.8,OLE27624.1,80.9,5.90E-154,553.5,OLE27624.1 protease ,Actinobacteria bacterium 13_1_20CM_3_71_11
H1_Bulk_Litter_5_scaffold_27324_1,MER0230198_S09C,69.4,8.00E-41,164.9,GCC52070.1,81.8,1.10E-45,192.2,GCC52070.1 S9 family peptidase ,Cytophagaceae bacterium Ys
H1_Bulk_Litter_5_scaffold_27540_1,MER0096899_S14,27.5,2.50E-08,57.8,GBD11820.1,70.4,2.80E-71,278.1,GBD11820.1 ATP-dependent Clp protease proteolytic subunit ,bacterium HR23
H1_Bulk_Litter_5_scaffold_27666_2,MER0858151_M32,27.5,4.20E-11,66.6,WP_042280149.1,56.9,6.40E-50,206.8,WP_042280149.1 carboxypeptidase M32 ,Candidatus Protochlamydia sp. R18
H1_Bulk_Litter_5_scaffold_27702_1,MER0187506_S46,60.7,5.10E-128,456.1,OLC17626.1,67.8,1.40E-139,505.8,OLC17626.1 serine protease ,Deltaproteobacteria bacterium 13_1_40CM_68_24
H1_Bulk_Litter_5_scaffold_278_3,MER0125509_M24B,34.4,8.70E-38,156.4,WP_013182907.1,55.6,1.50E-104,389.4,WP_013182907.1 aminopeptidase P family protein ,Waddlia chondrophila
H1_Bulk_Litter_5_scaffold_27953_1,MER0962725_S01C,54.5,6.50E-102,369.4,OJW21487.1,55.8,4.60E-106,394.4,OJW21487.1 serine protease ,Planctomycetales bacterium 71-10
H1_Bulk_Litter_5_scaffold_28_1,MER0487046_S01A,31.8,3.70E-31,134.4,WP_096086831.1,35.5,4.00E-36,162.2,WP_096086831.1 trypsin-like serine protease ,Agaribacterium haliotis
H1_Bulk_Litter_5_scaffold_28049_1,MER0737483_C82A,78.4,2.60E-42,169.5,WP_053849951.1,95.9,1.80E-49,204.5,"WP_053849951.1 murein L,D-transpeptidase ",Streptomyces sp. NRRL B-24085
H1_Bulk_Litter_5_scaffold_28081_1,MER0200968_M04,83.9,2.60E-141,500,WP_081219523.1,94.7,3.00E-156,560.8,WP_081219523.1 peptidase M4 ,Streptomyces sp. M41(2017)
H1_Bulk_Litter_5_scaffold_28306_1,MER0178978_M04,41.8,6.40E-70,263.1,WP_123489245.1,70.9,1.50E-141,512.3,WP_123489245.1 peptidase M4 family protein ,Granulicella sp. GAS466
H1_Bulk_Litter_5_scaffold_28521_1,MER0178978_M04,47.7,4.70E-52,203.4,SDY18759.1,62.8,3.00E-86,328.2,"SDY18759.1 Thermolysin metallopeptidase, catalytic domain ",Saccharopolyspora shandongensis
H1_Bulk_Litter_5_scaffold_287_4,MER0176697_U62,43.3,4.30E-106,383.6,RMH41470.1,68.7,1.60E-180,642.1,RMH41470.1 metalloprotease TldD ,Deltaproteobacteria bacterium
H1_Bulk_Litter_5_scaffold_2916_2,MER0982217_S11,81.7,4.10E-176,615.9,WP_056126937.1,100,1.10E-211,745.3,WP_056126937.1 MULTISPECIES: D-alanyl-D-alanine carboxypeptidase ,Massilia
H1_Bulk_Litter_5_scaffold_29178_1,MER0062937_S08A,32.8,1.10E-33,142.5,ACX43954.1,61.8,4.40E-100,374.4,ACX43954.1 cysteine protease 1 ,Brachiaria hybrid cultivar
H1_Bulk_Litter_5_scaffold_29332_1,MER0062937_S08A,33.4,5.20E-37,153.7,ACX43965.1,57.9,2.00E-92,349,ACX43965.1 cysteine protease 1 ,Brachiaria hybrid cultivar
H1_Bulk_Litter_5_scaffold_2934_2,MER0041317_S10,48,1.60E-64,244.6,WP_079992890.1,47.5,2.60E-65,258.5,WP_079992890.1 peptidase S10 ,Candidatus Protochlamydia naegleriophila
H1_Bulk_Litter_5_scaffold_29514_2,MER0428526_C01A,31.7,1.20E-22,105.5,OLE28669.1,68.6,2.40E-101,378.3,OLE28669.1 peptidase C1 ,Actinobacteria bacterium 13_1_20CM_3_71_11
H1_Bulk_Litter_5_scaffold_29640_1,MER0050195_M20F,32.2,9.60E-42,169.5,WP_042104423.1,63.2,1.10E-128,469.5,WP_042104423.1 dipeptidase ,Parachlamydiaceae bacterium HS-T3
H1_Bulk_Litter_5_scaffold_29725_1,MER0079481_S10,32.2,3.00E-43,174.5,PRP84032.1,64.2,1.60E-124,455.7,PRP84032.1 putative Serine carboxypeptidase ,Planoprotostelium fungivorum
H1_Bulk_Litter_5_scaffold_30269_1,MER0183651_S08A,35,2.70E-29,127.9,OGB30331.1,34.1,6.30E-29,137.9,OGB30331.1 peptidase S8 ,Burkholderiales bacterium RIFCSPLOWO2_12_FULL_61_40
H1_Bulk_Litter_5_scaffold_30280_1,MER0307081_S41A,78.4,4.00E-157,552.7,OJY44337.1,84.7,8.40E-166,592.8,OJY44337.1 peptidase S41 ,Rhizobiales bacterium 64-17
H1_Bulk_Litter_5_scaffold_3065_2,MER0499304_S08A,33.8,2.50E-22,104.8,WP_098295924.1,46.5,3.60E-64,255,WP_098295924.1 peptidase S8 ,Bacillus cereus
H1_Bulk_Litter_5_scaffold_30852_1,MER0887890_M48B,52.3,3.20E-98,357.1,WP_084720382.1,91.4,8.70E-171,609.4,WP_084720382.1 M48 family peptidase ,Skermanella aerolata
H1_Bulk_Litter_5_scaffold_30920_1,MER0978530_S08A,34.7,4.50E-44,177.2,WP_114797225.1,45.4,2.10E-68,269.2,WP_114797225.1 peptidase S8 and S53 subtilisin kexin sedolisin ,Gaiella occulta
H1_Bulk_Litter_5_scaffold_31628_1,MER0288521_S41A,64.6,1.90E-78,291.2,KIC93655.1,81,3.00E-95,358.2,KIC93655.1 carboxyl-terminal protease ,Flavihumibacter solisilvae
H1_Bulk_Litter_5_scaffold_31837_2,MER0230274_M19,25,3.60E-13,73.9,PZN23534.1,58.7,9.50E-65,256.5,PZN23534.1 peptidase M19 ,Proteobacteria bacterium
H1_Bulk_Litter_5_scaffold_31967_2,MER0246861_S26A,36.7,8.70E-23,105.9,PYR91170.1,92.9,1.90E-124,454.9,PYR91170.1 signal peptidase I ,Acidobacteria bacterium
H1_Bulk_Litter_5_scaffold_32037_1,MER0337211_S41A,87.2,3.60E-171,599.4,WP_027515017.1,99.7,5.30E-189,669.8,WP_027515017.1 S41 family peptidase ,Bradyrhizobium sp. WSM1417
H1_Bulk_Litter_5_scaffold_32477_1,MER0968208_S08A,44.9,9.00E-57,219.2,RIA98704.1,75.3,6.00E-128,466.8,RIA98704.1 serine protease ,Glomus cerebriforme
H1_Bulk_Litter_5_scaffold_32632_1,MER0738298_C82A,60.9,1.20E-63,241.5,WP_111385364.1,68.9,4.70E-63,250.8,"WP_111385364.1 L,D-transpeptidase ",Rhodoplanes piscinae
H1_Bulk_Litter_5_scaffold_32767_1,MER0741683_C82A,64,7.90E-80,295.4,SDT40997.1,70.1,5.40E-87,330.5,SDT40997.1 Lipoprotein-anchoring transpeptidase ErfK/SrfK ,Bradyrhizobium canariense
H1_Bulk_Litter_5_scaffold_32885_1,MER0062937_S08A,32.4,8.10E-28,122.9,ACX43954.1,56.2,6.90E-78,300.4,ACX43954.1 cysteine protease 1 ,Brachiaria hybrid cultivar
H1_Bulk_Litter_5_scaffold_33131_1,MER0062937_S08A,40.7,2.40E-28,124.8,ACX43954.1,47.8,4.10E-63,251.5,ACX43954.1 cysteine protease 1 ,Brachiaria hybrid cultivar
H1_Bulk_Litter_5_scaffold_33143_1,MER0062937_S08A,36.3,1.40E-31,135.6,ACX43954.1,56.4,5.50E-84,320.9,ACX43954.1 cysteine protease 1 ,Brachiaria hybrid cultivar
H1_Bulk_Litter_5_scaffold_34256_2,MER0028596_M23B,75.5,7.30E-41,164.9,WP_062702592.1,80.9,1.70E-40,174.9,WP_062702592.1 M23 family metallopeptidase ,Streptomyces regalis
H1_Bulk_Litter_5_scaffold_34518_1,MER0062937_S08A,37,1.90E-31,135.2,KYP68548.1,52.3,3.00E-80,308.5,KYP68548.1 Thiol protease SEN102 family ,Cajanus cajan
H1_Bulk_Litter_5_scaffold_3497_2,MER0858151_M32,36.1,2.60E-85,314.7,WP_075883229.1,59.8,9.20E-190,672.9,WP_075883229.1 carboxypeptidase M32 ,Candidatus Protochlamydia sp. W-9
H1_Bulk_Litter_5_scaffold_35098_1,MER0062937_S08A,35.3,1.50E-38,158.7,ACX43954.1,53.5,1.30E-85,326.2,ACX43954.1 cysteine protease 1 ,Brachiaria hybrid cultivar
H1_Bulk_Litter_5_scaffold_35694_2,MER0088776_M24A,59.2,4.80E-84,309.7,SNR49710.1,91.5,1.30E-148,535.4,SNR49710.1 methionyl aminopeptidase ,Blastococcus sp. DSM 44272
H1_Bulk_Litter_5_scaffold_35728_2,MER0501105_C01A,42.2,2.30E-41,167.9,WP_014216539.1,58.2,3.90E-103,384.4,WP_014216539.1 peptidase C1 ,Niastella koreensis
H1_Bulk_Litter_5_scaffold_35936_1,MER0858151_M32,42.6,2.80E-72,270.8,PRP78168.1,63.5,7.50E-124,453.4,PRP78168.1 peptidase M32 carboxypeptidase Taq metallopeptidase ,Planoprotostelium fungivorum
H1_Bulk_Litter_5_scaffold_36120_1,MER0985294_S08A,59.7,8.80E-52,202.6,EMY34948.1,59.8,4.20E-81,311.2,"EMY34948.1 subtilisin-like serine protease, partial ",Arthrobacter crystallopoietes BAB-32
H1_Bulk_Litter_5_scaffold_3722_1,MER0187336_M04,44.7,8.70E-162,569.3,WP_120647046.1,46.3,7.20E-167,597.4,WP_120647046.1 peptidase M4 ,Corallococcus sp. CA051B
H1_Bulk_Litter_5_scaffold_3781_2,MER0059242_M23B,44,6.20E-105,379.8,WP_084617935.1,57.3,1.80E-142,515.8,WP_084617935.1 peptidase M23 ,Cellvibrio sp. OA-2007
H1_Bulk_Litter_5_scaffold_3789_1,MER0187336_M04,46.9,7.60E-174,609.4,WP_120536035.1,50.3,1.90E-183,652.5,WP_120536035.1 peptidase M4 ,Corallococcus sp. CA047B
H1_Bulk_Litter_5_scaffold_3914_2,MER0187837_M06,30.5,3.70E-30,131.3,WP_106941959.1,55.3,7.90E-140,506.9,WP_106941959.1 M6 family metalloprotease domain-containing protein ,Bradyrhizobium sp. MOS002
H1_Bulk_Litter_5_scaffold_3933_1,MER0497521_M06,66.4,5.70E-267,918.7,WP_052386584.1,78.2,0,1123.6,WP_052386584.1 peptidase M6 immune inhibitor A ,Dactylosporangium aurantiacum
H1_Bulk_Litter_5_scaffold_4040_2,MER0308154_A08,43,2.10E-21,100.9,RMH37021.1,45.2,1.90E-28,135.6,RMH37021.1 signal peptidase II ,Deltaproteobacteria bacterium
H1_Bulk_Litter_5_scaffold_4314_2,MER0300812_M41,61,2.40E-213,740.3,WP_089401602.1,95.1,0,1188.3,WP_089401602.1 ATP-dependent metallopeptidase FtsH/Yme1/Tma family protein ,Noviherbaspirillum humi
H1_Bulk_Litter_5_scaffold_4435_2,MER0023958_M48A,40.8,2.10E-77,288.1,PCJ26546.1,54.9,2.30E-119,438.7,PCJ26546.1 peptidase M48 ,Flavobacteriales bacterium
H1_Bulk_Litter_5_scaffold_4519_2,MER0041317_S10,56.5,1.30E-69,261.5,WP_079992890.1,54.8,8.10E-70,273.5,WP_079992890.1 peptidase S10 ,Candidatus Protochlamydia naegleriophila
H1_Bulk_Litter_5_scaffold_4520_3,MER0062886_A08,34.7,2.90E-12,70.5,WP_068471181.1,57,1.30E-44,189.1,WP_068471181.1 signal peptidase II ,Parachlamydia sp. C2
H1_Bulk_Litter_5_scaffold_4567_1,MER0250670_S01C,42.3,2.00E-80,298.5,OOO00877.1,50.3,7.10E-121,444.1,OOO00877.1 putative serine protease HhoB ,Chromatiales bacterium USCg_Taylor
H1_Bulk_Litter_5_scaffold_4631_1,MER0497521_M06,66,6.50E-268,921.8,WP_052386584.1,85.4,0,1250.3,WP_052386584.1 peptidase M6 immune inhibitor A ,Dactylosporangium aurantiacum
H1_Bulk_Litter_5_scaffold_4663_1,MER0336973_S41A,93,0,1317.8,WP_026983913.1,98.6,0,1387.5,WP_026983913.1 tail-specific protease ,Flavobacterium sp. URHB0058
H1_Bulk_Litter_5_scaffold_468_3,MER0049176_S14,30.4,2.30E-09,61.2,CUI15996.1,79.7,6.30E-87,330.1,"CUI15996.1 ATP-dependent Clp protease, proteolytic subunit ClpP ",Candidatus Protochlamydia naegleriophila
H1_Bulk_Litter_5_scaffold_471_1,MER0211890_S41A,31.1,2.20E-84,312,OJV10815.1,60.9,2.00E-224,788.5,OJV10815.1 tail-specific protease ,Chlamydiales bacterium 38-26
H1_Bulk_Litter_5_scaffold_4726_1,MER0074331_T01X,46,2.20E-53,208,PXW97393.1,69.3,5.70E-92,347.4,PXW97393.1 putative proteasome-type protease ,Mycolicibacterium moriokaense
H1_Bulk_Litter_5_scaffold_4796_1,MER0497521_M06,62.6,1.80E-254,877.1,WP_052386584.1,75.1,0,1099,WP_052386584.1 peptidase M6 immune inhibitor A ,Dactylosporangium aurantiacum
